ProductID,CategoryID,ProductName,SKU,Description,Material,Dimensions,WeightKG,BasePrice,StockQty,ReorderLevel,IsActive,CreatedAt,UpdatedAt
1,1,Oak Dining Chair,CHR-001,Classic oak dining chair,Wood,45x45x90,6.0,150.00,45,10,1,2023-10-27 10:00:00,2023-10-27 10:00:00
2,1,Modern Accent Chair,CHR-002,Mid-century modern accent chair,Fabric/Wood,60x60x80,12.0,299.00,20,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
3,1,Leather Office Chair,CHR-003,Ergonomic executive chair,Leather/Metal,65x65x110,18.0,450.00,15,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
4,1,Velvet Lounge Chair,CHR-004,Plush velvet lounge seating,Velvet,70x75x85,15.0,350.00,10,3,1,2023-10-27 10:00:00,2023-10-27 10:00:00
5,1,Plastic Outdoor Chair,CHR-005,Weather-resistant patio chair,Plastic,50x50x85,3.5,45.00,100,20,1,2023-10-27 10:00:00,2023-10-27 10:00:00
6,1,Folding Wooden Chair,CHR-006,Space-saving folding chair,Wood,40x45x80,4.0,65.00,80,15,1,2023-10-27 10:00:00,2023-10-27 10:00:00
7,1,Rattan Armchair,CHR-007,Boho style rattan chair,Rattan,65x70x90,8.0,220.00,12,4,1,2023-10-27 10:00:00,2023-10-27 10:00:00
8,1,High Bar Stool,CHR-008,Industrial style bar stool,Metal/Wood,40x40x100,7.5,110.00,30,10,1,2023-10-27 10:00:00,2023-10-27 10:00:00
9,1,Rocking Chair,CHR-009,Traditional wooden rocking chair,Wood,60x80x105,14.0,280.00,8,2,1,2023-10-27 10:00:00,2023-10-27 10:00:00
10,1,Gaming Chair,CHR-010,High-back racing style chair,Faux Leather,65x60x120,20.0,300.00,25,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
11,2,Glass Dining Table,TBL-001,Modern glass top dining table,Glass/Metal,160x90x75,45.0,600.00,10,2,1,2023-10-27 10:00:00,2023-10-27 10:00:00
12,2,Rustic Farmhouse Table,TBL-002,Solid pine large dining table,Pine Wood,200x100x76,60.0,850.00,5,1,1,2023-10-27 10:00:00,2023-10-27 10:00:00
13,2,Round Coffee Table,TBL-003,Minimalist living room table,Wood,80x80x45,15.0,180.00,35,10,1,2023-10-27 10:00:00,2023-10-27 10:00:00
14,2,Nesting Side Tables,TBL-004,Set of 3 nesting tables,Metal/Wood,50x50x55,12.0,150.00,40,15,1,2023-10-27 10:00:00,2023-10-27 10:00:00
15,2,Marble Console Table,TBL-005,Elegant hallway table,Marble/Metal,120x40x80,30.0,450.00,8,2,1,2023-10-27 10:00:00,2023-10-27 10:00:00
16,2,Study Desk,TBL-006,Home office desk with drawers,Engineered Wood,120x60x75,25.0,220.00,25,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
17,2,Outdoor Picnic Table,TBL-007,Weatherproof garden table,Treated Wood,180x150x75,80.0,350.00,12,3,1,2023-10-27 10:00:00,2023-10-27 10:00:00
18,2,Folding Card Table,TBL-008,Square folding table,Plastic/Metal,85x85x74,10.0,55.00,60,20,1,2023-10-27 10:00:00,2023-10-27 10:00:00
19,2,Bedside Table,TBL-009,Small nightstand with one drawer,Wood,45x40x55,8.0,95.00,50,15,1,2023-10-27 10:00:00,2023-10-27 10:00:00
20,2,Adjustable Standing Desk,TBL-010,Motorized sit-stand desk,Metal/Wood,140x70x70,35.0,550.00,18,4,1,2023-10-27 10:00:00,2023-10-27 10:00:00
21,3,King Bed,BED-001,Solid wood king size frame,Wood,210x190x110,75.0,45000.00,1,5,1,2026-04-30 14:51:17,2026-05-05 15:35:52
22,3,Single Bed,BED-002,Standard single bed frame,Wood,200x100x90,40.0,25000.00,11,5,1,2026-04-30 14:51:17,2026-05-09 11:41:40
23,3,Queen Upholstered Bed,BED-003,Fabric headboard bed,Fabric/Wood,210x160x120,65.0,38000.00,8,3,1,2023-10-27 10:00:00,2023-10-27 10:00:00
24,3,Bunk Bed,BED-004,Kids twin over twin bunk,Metal,200x100x160,55.0,28000.00,15,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
25,3,Storage Platform Bed,BED-005,Bed with under-mattress drawers,Wood,205x145x45,85.0,42000.00,6,2,1,2023-10-27 10:00:00,2023-10-27 10:00:00
26,3,Four Poster Bed,BED-006,Classic mahogany four poster,Mahogany,215x195x200,90.0,85000.00,2,1,1,2023-10-27 10:00:00,2023-10-27 10:00:00
27,3,Trundle Bed,BED-007,Guest bed with pull-out base,Wood,200x100x60,45.0,32000.00,9,3,1,2023-10-27 10:00:00,2023-10-27 10:00:00
28,3,Sleigh Bed,BED-008,Curved headboard and footboard,Cherry Wood,220x160x115,70.0,55000.00,4,2,1,2023-10-27 10:00:00,2023-10-27 10:00:00
29,3,Daybed,BED-009,Versatile seating and sleeping,Metal,200x95x90,35.0,21000.00,12,4,1,2023-10-27 10:00:00,2023-10-27 10:00:00
30,3,Minimalist Futon,BED-010,Low profile wooden futon frame,Pine,200x140x20,25.0,15000.00,20,5,1,2023-10-27 10:00:00,2023-10-27 10:00:00
31,4,3-Seater Sofa,SOF-001,Comfortable fabric 3-seater,Fabric,220x90x85,55.0,60000.00,1,5,1,2026-04-30 14:51:17,2026-05-08 11:31:17
32,4,Corner Sofa,SOF-002,Large L-shaped sectional,Leather,280x200x85,95.0,75000.00,50,5,1,2026-04-30 14:51:17,2026-05-09 12:20:14
33,4,Loveseat,SOF-003,Compact 2-seater sofa,Velvet,150x85x85,40.0,45000.00,12,4,1,2023-10-27 10:00:00,2023-10-27 10:00:00
34,4,Sofa Bed,SOF-004,Convertible sleeper sofa,Fabric,200x95x90,65.0,58000.00,8,2,1,2023-10-27 10:00:00,2023-10-27 10:00:00
